Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
100 FL,47.91,47.91,24,904,2017 US Open,2018 FL GSC Holiday Classic,FL,UN,11/30/2018
100 FL,48.32,48.32,22,883,2019 Summer Juniors (LCM),UF vs. TN,FL,UN,1/30/2016
200 FL,1:39.55,1:39.55,24,1065,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,FL,UN,3/24/2018
200 FL,1:40.13,1:40.13,24,1052,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,FL,UN,3/24/2018
200 FL,1:40.94,1:40.94,23,1034,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,FL,UN,2/17/2017
200 FL,1:41.40,1:41.40,22,1023,2019 Summer Nationals (LCM),2016 NCAA D1 Mens,FL,UN,3/26/2016
200 FL,1:41.46,1:41.46,23,1022,2019 Summer Nationals (LCM),2017 NCAA DI Men's,FL,UN,3/25/2017
200 FL,1:41.60,1:41.60,24,1019,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,FL,UN,2/17/2018
200 FL,1:41.61,1:41.61,23,1018,2019 Summer Nationals (LCM),2017 NCAA DI Men's,FL,UN,3/25/2017
200 FL,1:41.98,1:41.98,22,1010,2019 Summer Nationals (LCM),2016 SEC Swimming & Diving Cha,FL,UN,2/19/2016
200 FL,1:42.08,1:42.08,21,1008,2019 Summer Nationals (LCM),Ohio State Invitational,FL,UN,11/22/2015
200 FL,1:42.26,1:42.26,22,1004,2019 Summer Nationals (LCM),2016 NCAA D1 Mens,FL,UN,3/26/2016
200 FL,1:42.68,1:42.68,24,994,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,FL,UN,2/17/2018
200 FL,1:42.89,1:42.89,22,990,2019 Summer Nationals (LCM),2016 SEC Swimming & Diving Cha,FL,UN,2/19/2016
200 FL,1:43.04,1:43.04,23,986,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,FL,UN,2/17/2017
200 FL,1:43.27,1:43.27,23,981,2019 Summer Nationals (LCM),Purdue Invite 2017,FL,UN,11/18/2017
200 FL,1:43.42,1:43.42,22,978,2019 Summer Nationals (LCM),2016 Georgia Tech Fall Invitat,FL,UN,11/19/2016
